日期,时间,用户id,聊天内容
2017-03-31,09:04:44,170309360016360902,[U+1F478][U+1F478][U+1F478]
2017-03-31,09:04:49,160509360076966348,恭喜三位朋友哦~其他的伙伴也要踊跃的进行参与哦~
2017-03-31,09:06:01,170309360016360902,好像有我的号码耶[U+1F604][U+1F604][U+1F604]
2017-03-31,09:06:44,170228360018535293,老师，今天的大盘走势会不会还会像昨天一样？
2017-03-31,09:08:39,170309360016360902,一星期了，猜中一次，不容易[U+1F602][U+1F602]
2017-03-31,09:08:44,170228360018535293,今天怎么没有人猜？我要猜咯[U+1F601]
2017-03-31,09:10:02,170309360016360902,今天我看涨
2017-03-31,09:12:28,170326360093807208,老师002329今天怎么看？
2017-03-31,09:12:54,170303360022654988,看涨
2017-03-31,09:12:55,170308360050678707,我觉得应该是上涨
2017-03-31,09:13:01,170301360066588921,请问老师300556成本52.5怎么操作
2017-03-31,09:13:06,170308360050678707,也有可能下跌
2017-03-31,09:13:17,170326360093807208,涨
2017-03-31,09:13:25,170228360018535293,"我觉得应该是先跌后涨
"
2017-03-31,09:13:37,170228360018535293,老师，小娟你怎么看？
2017-03-31,09:15:32,170228360018535293,小秘书也要参与参与~大家也要踊跃参加哦~
2017-03-31,09:16:56,170308360077880347,老师300084海默科技今天能买吗
2017-03-31,09:17:11,170228360018535293,小秘书也想要奖品？可见奖品真的很有诱惑力
2017-03-31,09:18:09,170308360077880347,今天看涨
2017-03-31,09:18:12,170228360018535293,我觉得今天收盘一定会上涨的，
2017-03-31,09:19:23,170308360050678707,老师帮忙看下烟台冰轮，今天能买入吗
2017-03-31,09:20:13,170308360050678707,东方电热也准备买入，哪天会是最好的进场点呢？老师
2017-03-31,09:25:25,170307360064440262,「xh」
2017-03-31,09:26:12,170228360018535293,「dyg」
2017-03-31,09:30:25,170228360018535293,"应该是下跌的概率大一些
"
2017-03-31,09:30:47,170308360050678707,我觉得也是
2017-03-31,09:36:21,170228360018535293,老师，看下西仪股份，30元买入的~现在应该怎么办？继续持有还是卖出呢？
2017-03-31,09:38:04,170326360093807208,老师辛苦啦
2017-03-31,09:38:49,170308360077880347,老师300084海默科技今天能买吗
2017-03-31,09:40:03,170308360077880347,「zyg」
2017-03-31,09:40:43,170326360093807208,谢谢老师
2017-03-31,09:48:30,170308360050678707,谢谢老师
2017-03-31,09:49:55,170309360016360902,「zyg」
2017-03-31,09:50:05,170317360032549589,老师600212帮助分析一下，成本10.168
2017-03-31,09:51:38,170326360093807208,👏👏👏👏
2017-03-31,09:56:39,170309360016360902,[U+270C][U+270C][U+270C][U+270C]
2017-03-31,09:57:51,170228360018535293,"谢谢老师，小娟
"
2017-03-31,09:59:26,170309360016360902,「zs」
2017-03-31,09:59:33,170309360016360902,「dyg」
2017-03-31,09:59:41,170309360016360902,谢谢老师，小娟
